name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Edinburgh, Scotland, United Kingdom",2017-02-13,42.1,39.0,40.4,36.7,30.2,32.7,36.4,85.6,0.003,100,4.17,rain,0.0,0.1,33.3,18.3,84.1,1030.9,98.4,5.6,30.2,2.7,1,,2017-02-13T07:42:07,2017-02-13T17:12:45,0.58,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-14,47.2,37.6,41.9,42.0,32.2,36.7,36.8,82.4,0.0,0,0.0,,0.0,0.0,28.9,15.1,78.8,1025.0,76.5,4.6,66.1,5.7,3,,2017-02-14T07:39:52,2017-02-14T17:14:57,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-15,49.0,39.8,44.2,47.1,38.8,42.2,41.1,88.8,0.0,0,0.0,,0.0,0.0,23.5,11.5,175.4,1022.5,69.3,5.4,45.0,3.9,2,,2017-02-15T07:37:35,2017-02-15T17:17:08,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-16,49.5,43.0,46.8,43.8,37.3,40.7,42.3,84.1,0.009,100,4.17,rain,0.0,0.0,33.3,20.1,239.1,1019.5,70.8,10.3,46.0,4.0,2,,2017-02-16T07:35:17,2017-02-16T17:19:20,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-17,49.8,31.8,42.4,48.5,31.8,41.1,39.3,89.0,0.001,100,4.17,rain,0.0,0.0,18.8,6.9,246.9,1023.6,59.3,10.9,50.9,4.3,2,,2017-02-17T07:32:58,2017-02-17T17:21:31,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-18,51.9,46.4,49.4,51.9,39.7,46.0,44.9,84.4,0.01,100,8.33,rain,0.0,0.0,34.2,17.8,232.7,1015.8,75.0,11.4,21.0,1.8,1,,2017-02-18T07:30:37,2017-02-18T17:23:42,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-19,51.8,46.3,49.3,51.8,39.4,46.4,45.8,87.8,0.0,0,0.0,,0.0,0.0,33.3,17.8,244.3,1014.6,79.7,15.0,41.0,3.7,2,,2017-02-19T07:28:16,2017-02-19T17:25:52,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-20,55.0,44.7,50.8,55.0,37.8,48.7,44.5,79.6,0.007,100,4.17,rain,0.0,0.0,41.0,26.4,253.3,1009.4,70.7,13.4,38.3,3.3,2,,2017-02-20T07:25:53,2017-02-20T17:28:03,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-21,51.8,41.6,46.5,51.8,34.8,41.4,41.6,83.1,0.017,100,4.17,rain,0.0,0.0,40.2,24.1,239.2,1004.5,52.8,9.2,35.0,3.1,2,,2017-02-21T07:23:30,2017-02-21T17:30:13,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-22,47.9,40.9,43.3,41.2,32.1,36.2,35.3,73.7,0.151,100,8.33,rain,0.0,0.0,38.3,21.6,256.3,998.2,40.4,11.3,80.2,6.9,3,,2017-02-22T07:21:05,2017-02-22T17:32:23,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-23,40.9,34.6,36.8,38.8,24.0,29.4,34.8,92.4,0.755,100,12.5,"rain,snow",4.1,1.2,37.4,23.3,43.1,991.9,79.3,10.2,19.4,1.7,1,,2017-02-23T07:18:40,2017-02-23T17:34:32,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-24,44.3,32.5,38.8,38.9,26.2,32.5,34.1,83.4,0.004,100,12.5,"rain,snow",0.0,0.6,31.1,16.7,233.5,1009.8,50.8,15.1,72.6,6.2,3,,2017-02-24T07:16:13,2017-02-24T17:36:41,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-25,51.8,41.3,47.0,51.8,36.4,41.7,42.1,83.4,0.349,100,12.5,rain,0.0,0.1,46.0,28.2,225.8,998.2,77.4,9.4,36.3,3.2,2,,2017-02-25T07:13:46,2017-02-25T17:38:50,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-26,49.9,40.1,44.0,42.6,31.3,36.9,39.3,83.3,0.243,100,8.33,rain,0.0,0.0,45.5,26.0,220.3,991.2,61.4,10.8,28.3,2.4,1,,2017-02-26T07:11:17,2017-02-26T17:40:59,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-27,42.8,33.1,38.3,42.8,26.9,33.2,31.7,77.3,0.042,100,12.5,rain,0.0,0.1,28.9,14.0,218.7,983.6,55.1,14.6,79.7,6.8,3,,2017-02-27T07:08:48,2017-02-27T17:43:07,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-02-28,45.3,28.7,36.2,42.5,22.8,31.5,30.3,80.1,0.0,0,0.0,,0.0,0.1,15.4,8.5,259.1,983.2,33.7,13.1,106.6,9.4,4,,2017-02-28T07:06:19,2017-02-28T17:45:15,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-03-01,46.3,31.8,36.9,41.7,25.3,31.2,31.2,80.5,0.0,0,0.0,,0.0,0.3,17.9,10.1,244.8,992.2,39.5,16.7,93.8,8.2,4,,2017-03-01T07:03:48,2017-03-01T17:47:23,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
